priority_area,url,title,content_type,hubspot_id,blog_or_group,template,data_source,status,notes
Blog,https://propellervc.com/blog/meet-allium-engineering,Meet Allium Engineering,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Company detail published as blog post.
Blog,https://propellervc.com/blog/meet-aquatic-labs,Meet Aquatic Labs,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Company detail published as blog post.
Blog,https://propellervc.com/blog/meet-banyu-carbon,Meet Banyu Carbon,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Company detail published as blog post.
Blog,https://propellervc.com/blog/meet-blue-energy,Meet Blue Energy,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Company detail published as blog post.
Blog,https://propellervc.com/blog/meet-calcarea,Meet Calcarea,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Company detail published as blog post.
Blog,https://propellervc.com/blog/meet-carbonrun,Meet CarbonRun,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Company detail published as blog post.
Blog,https://propellervc.com/blog/meet-circle-seafoods,Meet Circle Seafoods,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Company detail published as blog post.
Blog,https://propellervc.com/blog/meet-ebb-carbon,Meet Ebb Carbon,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Company detail published as blog post.
Blog,https://propellervc.com/blog/meet-fleet-robotics,Meet Fleet Robotics,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Company detail published as blog post.
Blog,https://propellervc.com/blog/meet-indeximate,Meet Indeximate,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Company detail published as blog post.
Blog,https://propellervc.com/blog/meet-navier,Meet Navier,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Company detail published as blog post.
Blog,https://propellervc.com/blog/meet-nexxa.ai,Meet Nexxa.ai,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Company detail published as blog post; no draft standalone page found in site-page API.
Blog,https://propellervc.com/blog/meet-orpheus,Meet Orpheus,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Company detail published as blog post.
Blog,https://propellervc.com/blog/meet-phathom,Meet pHathom,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Company detail published as blog post; no draft standalone page found in site-page API.
Blog,https://propellervc.com/blog/meet-rewind,Meet Rewind,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Company detail published as blog post.
Blog,https://propellervc.com/blog/meet-vatn,Meet Vatn,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Company detail published as blog post.
Blog,https://propellervc.com/blog/meet-vema-hydrogen,Meet Vema Hydrogen,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Company detail published as blog post.
Press,https://propellervc.com/press-room,Press Room,site_page,109065602860,,PRO-HubUI-CHAD EDIT/templates/flex.html,CMS API,PUBLISHED,Live press room; uses Resources Listing module.
Ocean MBA,https://propellervc.com/oceanmba,Ocean MBA,site_page,75649537880,,PRO-HubUI-CHAD EDIT/templates/flex.html,CMS API,DRAFT,Public route returns 404; page has large legacy flex content structure.
Ocean MBA,https://propellervc.com/blog/oceanmba-2025,Ocean MBA 2025,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Indexed Ocean MBA blog post.
Ocean MBA,https://propellervc.com/blog/oceanmba,Ocean MBA,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Indexed Ocean MBA blog post.
Ocean MBA,https://propellervc.com/blog/our-third-ocean-mba-fast-focused,Our Third Ocean MBA Fast Focused,blog_post,unknown,blog,unknown,Public sitemap,PUBLISHED,Indexed Ocean MBA blog post.
Ocean MBA,https://propellervc.com/apply,Apply,site_page,190327889443,,PRO-HubUI-CHAD EDIT/templates/flex.html,CMS API,DRAFT,Draft OMBA application page.
Ocean MBA,https://propellervc.com/ombamit2,OMBA MIT 2,site_page,104641797911,,PRO-HubUI-2022/templates/flex.html,CMS API,DRAFT,Draft legacy OMBA page.
Ocean MBA,https://propellervc.com/ombamit3,OMBA MIT 3,site_page,152346821641,,PRO-HubUI-2022/templates/flex.html,CMS API,DRAFT,Draft legacy OMBA page.
Pitch,https://propellervc.com/pitch,Pitch Us,site_page,75649536565,,PRO-HubUI-CHAD EDIT/templates/flex.html,CMS API,PUBLISHED,Live pitch page; uses Full-Width Content and Form.
Bios,https://propellervc.com/brian-halligan,Bio - Brian Halligan,site_page,79630608048,,PRO-HubUI-CHAD EDIT/templates/flex.html,CMS API,PUBLISHED,Published individual bio page.
Bios,https://propellervc.com/devdutt-yellurkar,Bio - Devdutt Yellurkar,site_page,81219387018,,PRO-HubUI-CHAD EDIT/templates/flex.html,CMS API,PUBLISHED,Published individual bio page.
Bios,https://propellervc.com/melissa-hanson,Bio - Melissa Hanson,site_page,81219388817,,PRO-HubUI-CHAD EDIT/templates/flex.html,CMS API,PUBLISHED,Published individual bio page.
Bios,https://propellervc.com/reece-pacheco,Bio - Reece Pacheco,site_page,81219389324,,PRO-HubUI-CHAD EDIT/templates/flex.html,CMS API,PUBLISHED,Published individual bio page.
Bios,https://propellervc.com/robert-kittler,Bio - Robert Kittler,site_page,118532525065,,PRO-HubUI-CHAD EDIT/templates/flex.html,CMS API,PUBLISHED,Published individual bio page.
Bios,https://propellervc.com/rodrigo-prudencio,Bio - Rodrigo Prudencio,site_page,123796193889,,PRO-HubUI-CHAD EDIT/templates/flex.html,CMS API,PUBLISHED,Published individual bio page.
Bios,https://propellervc.com/steven-fox,Bio - Steven Fox,site_page,81219389731,,PRO-HubUI-CHAD EDIT/templates/flex.html,CMS API,PUBLISHED,Published individual bio page.
Other,https://propellervc.com/investment-themes,Investment Themes,site_page,91672621856,,PRO-HubUI-2022/templates/flex.html,CMS API,DRAFT,Draft legacy page.
Other,https://propellervc.com/library,library,site_page,97518322752,,PRO-HubUI-2022/templates/flex.html,CMS API,DRAFT,Draft page.
Other,https://propellervc.com/module-library-0,[IM] Module Library 2022,site_page,74729495959,,PRO-HubUI-2022/templates/flex.html,CMS API,DRAFT,Draft legacy module library.
Other,https://propellervc.com/old,Homepage,site_page,75306926619,,PRO-HubUI-2022/templates/flex.html,CMS API,DRAFT,Draft old homepage.
Other,https://propellervc.com/partners,Partners,site_page,75649537308,,PRO-HubUI-2022/templates/flex.html,CMS API,DRAFT,Draft partners page.
Other,https://propellervc.com/privacy-terms,Privacy and Terms,site_page,83039774976,,PRO-HubUI-CHAD EDIT/templates/flex.html,CMS API,PUBLISHED,Published legal page.
Other,https://propellervc.com/thankyou,Thank you,site_page,82247839159,,PRO-HubUI-CHAD EDIT/templates/flex.html,CMS API,PUBLISHED,Published thank-you page.
Other,https://propellervc.com/propeller-ventures,Temp Landing Page,landing_page,66785777702,,@hubspot/panorama_theme/templates/panorama_-_feature_page.html,CMS API,DRAFT,Only landing page returned by API; draft.
